"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB08mA_ss4_2b","f__VadinHA17","A","A_ss4_2",8441
"FLB08mB_ss4_1","f__VadinHA17","B","B_ss4_1",1641
"FLB08mB_ss4_2a","f__VadinHA17","B","B_ss4_2a",6783
"FLB10mA_ss4_1","f__VadinHA17","A","A_ss4_1",6814
"FLB10mA_ss4_2a","f__VadinHA17","A","A_ss4_2",14261
"FLB10mA_ss4_2b","f__VadinHA17","A","A_ss4_2",10507
"FLB10mA_ss4_3a","f__VadinHA17","A","A_ss4_3",5700
"FLB10mA_ss4_3b","f__VadinHA17","A","A_ss4_3",2846
"FLB10mB_ss4_1","f__VadinHA17","B","B_ss4_1",5231
"FLB10mB_ss4_2a","f__VadinHA17","B","B_ss4_2",17176
"FLB10mB_ss4_2b","f__VadinHA17","B","B_ss4_2",12777
"FLB10mB_ss4_3a","f__VadinHA17","B","B_ss4_3",18784
"FLB10mB_ss4_3b","f__VadinHA17","B","B_ss4_3",13893
"FLB10mSdA_ss4_1","f__VadinHA17","dA","dA_ss4_1",2488
"FLB10mSdA_ss4_2a","f__VadinHA17","dA","dA_ss4_2",535
"FLB10mSdA_ss4_2b","f__VadinHA17","dA","dA_ss4_2",796
"FLB12mA_ss4_1","f__VadinHA17","A","A_ss4_1",4976
"FLB13mNB_ss4_1","f__VadinHA17","B","B_ss4_1",2248
"FLB16mNdA_ss4_1","f__VadinHA17","dA","dA_ss4_1",4958
"FLB16mNdA_ss4_2a","f__VadinHA17","dA","dA_ss4_2",7158
"FLB16mNdA_ss4_2b","f__VadinHA17","dA","dA_ss4_2",8239
"FLB16mNdB_ss4_1","f__VadinHA17","dB","dB_ss4_1",455
"FLB16mNdB_ss4_2","f__VadinHA17","dB","dB_ss4_2",25798
"FLB16mNuA_ss4_1","f__VadinHA17","uA","uA_ss4_1",15920
"FLB16mNuA_ss4_2","f__VadinHA17","uA","uA_ss4_2",5700
"FLB16mNuA_ss4_3","f__VadinHA17","uA","uA_ss4_3",2107
"FLB16mNuA_ss4_4","f__VadinHA17","uA","uA_ss4_4",2590
"FLB34mA_ss4_1","f__VadinHA17","A","A_ss4_1",3337
"FLB38mA_ss4_1","f__VadinHA17","A","A_ss4_1",6636
"FLB38mA_ss4_2a","f__VadinHA17","A","A_ss4_2",31896
"FLB38mA_ss4_2b","f__VadinHA17","A","A_ss4_2",22836
"FLB38mB_ss4_1","f__VadinHA17","B","B_ss4_1",6714
