"library_id","genus","core_replicate","tech_replicate","n_reads"
"FLB10mA_ss4_3b","Salix","A","A_ss4_3",43
"FLB10mB_ss4_1","Salix","B","B_ss4_1",405
"FLB10mB_ss4_2a","Salix","B","B_ss4_2",695
"FLB10mB_ss4_2b","Salix","B","B_ss4_2",481
"FLB10mB_ss4_3a","Salix","B","B_ss4_3",686
"FLB10mB_ss4_3b","Salix","B","B_ss4_3",464
"FLB10mSdA_ss4_1","Salix","dA","dA_ss4_1",1340
"FLB10mSdA_ss4_2a","Salix","dA","dA_ss4_2",695
"FLB10mSdA_ss4_2b","Salix","dA","dA_ss4_2",1062
"FLB12mA_ss4_1","Salix","A","A_ss4_1",164
"FLB13mNB_ss4_1","Salix","B","B_ss4_1",239
"FLB16mNdA_ss4_1","Salix","dA","dA_ss4_1",158
"FLB16mNdA_ss4_2a","Salix","dA","dA_ss4_2",297
"FLB16mNdA_ss4_2b","Salix","dA","dA_ss4_2",295
"FLB16mNdB_ss4_1","Salix","dB","dB_ss4_1",56
"FLB16mNdB_ss4_2","Salix","dB","dB_ss4_2",1453
"FLB16mNuA_ss4_1","Salix","uA","uA_ss4_1",621
"FLB16mNuA_ss4_2","Salix","uA","uA_ss4_2",422
"FLB16mNuA_ss4_3","Salix","uA","uA_ss4_3",96
"FLB16mNuA_ss4_4","Salix","uA","uA_ss4_4",93
"FLB34mA_ss4_1","Salix","A","A_ss4_1",143
"FLB38mA_ss4_1","Salix","A","A_ss4_1",183
"FLB38mA_ss4_2a","Salix","A","A_ss4_2",518
"FLB38mA_ss4_2b","Salix","A","A_ss4_2",389
"FLB38mB_ss4_1","Salix","B","B_ss4_1",1555
"FLB45mA_ss4_1","Salix","A","A_ss4_1",53
"FLB45mA_ss4_2","Salix","A","A_ss4_2",40
"FLB45mB_ss4_1","Salix","B","B_ss4_1",42
"FLB45mB_ss4_2","Salix","B","B_ss4_2",35
"FLB57muA_ss4_1","Salix","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Carex","A","A_ss4_1",323
"FLB00mA_ss4_2a","Carex","A","A_ss4_2",594
"FLB00mA_ss4_2b","Carex","A","A_ss4_2",745
"FLB00mB_ss4_1","Carex","B","B_ss4_1",55
"FLB01mA_ss4_1","Carex","A","A_ss4_1",112
"FLB01mB_ss4_1","Carex","B","B_ss4_1",54
"FLB03mA_ss4_1","Carex","A","A_ss4_1",217
"FLB03mA_ss4_2","Carex","A","A_ss4_2",41
"FLB05mA_ss4_1","Carex","A","A_ss4_1",122
"FLB05mA_ss4_2","Carex","A","A_ss4_2",118
"FLB05mB_ss4_1","Carex","B","B_ss4_1",103
"FLB05mB_ss4_2a","Carex","B","B_ss4_2",85
"FLB05mB_ss4_2b","Carex","B","B_ss4_2",104
"FLB05mB_ss4_3a","Carex","B","B_ss4_3",96
"FLB05mB_ss4_3b","Carex","B","B_ss4_3",87
"FLB06mA_ss4_1","Carex","A","A_ss4_1",47
"FLB06mA_ss4_2","Carex","A","A_ss4_2",224
"FLB06mB_ss4_1","Carex","B","B_ss4_1",543
"FLB06mB_ss4_2a","Carex","B","B_ss4_2",240
"FLB06mB_ss4_2b","Carex","B","B_ss4_2",317
"FLB08mA_ss4_1","Carex","A","A_ss4_1",1960
"FLB08mA_ss4_2b","Carex","A","A_ss4_2",287
"FLB08mB_ss4_1","Carex","B","B_ss4_1",67
"FLB08mB_ss4_2a","Carex","B","B_ss4_2a",240
"FLB10mA_ss4_1","Carex","A","A_ss4_1",55
"FLB10mA_ss4_2a","Carex","A","A_ss4_2",70
"FLB10mA_ss4_2b","Carex","A","A_ss4_2",37
"FLB10mA_ss4_3a","Carex","A","A_ss4_3",61
"FLB10mA_ss4_3b","Carex","A","A_ss4_3",29
"FLB10mB_ss4_1","Carex","B","B_ss4_1",70
"FLB10mB_ss4_2a","Carex","B","B_ss4_2",89
"FLB10mB_ss4_2b","Carex","B","B_ss4_2",72
"FLB10mB_ss4_3a","Carex","B","B_ss4_3",274
"FLB10mB_ss4_3b","Carex","B","B_ss4_3",198
"FLB10mSdA_ss4_1","Carex","dA","dA_ss4_1",364
"FLB10mSdA_ss4_2a","Carex","dA","dA_ss4_2",144
"FLB10mSdA_ss4_2b","Carex","dA","dA_ss4_2",231
"FLB12mA_ss4_1","Carex","A","A_ss4_1",28
"FLB13mNB_ss4_1","Carex","B","B_ss4_1",52
"FLB16mNdA_ss4_1","Carex","dA","dA_ss4_1",33
"FLB16mNdA_ss4_2a","Carex","dA","dA_ss4_2",24
"FLB16mNdA_ss4_2b","Carex","dA","dA_ss4_2",29
"FLB16mNdB_ss4_1","Carex","dB","dB_ss4_1",10
"FLB16mNdB_ss4_2","Carex","dB","dB_ss4_2",143
"FLB16mNuA_ss4_1","Carex","uA","uA_ss4_1",230
"FLB16mNuA_ss4_2","Carex","uA","uA_ss4_2",86
"FLB16mNuA_ss4_3","Carex","uA","uA_ss4_3",23
"FLB16mNuA_ss4_4","Carex","uA","uA_ss4_4",35
"FLB34mA_ss4_1","Carex","A","A_ss4_1",52
"FLB38mA_ss4_1","Carex","A","A_ss4_1",63
"FLB38mA_ss4_2a","Carex","A","A_ss4_2",176
"FLB38mA_ss4_2b","Carex","A","A_ss4_2",111
"FLB38mB_ss4_1","Carex","B","B_ss4_1",49
"FLB45mA_ss4_1","Carex","A","A_ss4_1",22
"FLB45mA_ss4_2","Carex","A","A_ss4_2",33
"FLB45mB_ss4_1","Carex","B","B_ss4_1",17
"FLB45mB_ss4_2","Carex","B","B_ss4_2",11
"FLB57muA_ss4_1","Carex","uA","uA_ss4_1",0
"FLB00mA_ss4_1","Betula","A","A_ss4_1",1640
"FLB00mA_ss4_2a","Betula","A","A_ss4_2",4154
"FLB00mA_ss4_2b","Betula","A","A_ss4_2",4773
"FLB00mB_ss4_1","Betula","B","B_ss4_1",148
"FLB01mA_ss4_1","Betula","A","A_ss4_1",314
"FLB01mB_ss4_1","Betula","B","B_ss4_1",81
"FLB03mA_ss4_1","Betula","A","A_ss4_1",327
"FLB03mA_ss4_2","Betula","A","A_ss4_2",73
"FLB05mA_ss4_1","Betula","A","A_ss4_1",55
"FLB05mA_ss4_2","Betula","A","A_ss4_2",60
"FLB05mB_ss4_1","Betula","B","B_ss4_1",47
"FLB05mB_ss4_2a","Betula","B","B_ss4_2",20
"FLB05mB_ss4_2b","Betula","B","B_ss4_2",24
"FLB05mB_ss4_3a","Betula","B","B_ss4_3",26
"FLB05mB_ss4_3b","Betula","B","B_ss4_3",28
"FLB06mA_ss4_1","Betula","A","A_ss4_1",68
"FLB06mA_ss4_2","Betula","A","A_ss4_2",67
"FLB06mB_ss4_1","Betula","B","B_ss4_1",365
"FLB06mB_ss4_2a","Betula","B","B_ss4_2",176
"FLB06mB_ss4_2b","Betula","B","B_ss4_2",251
"FLB08mA_ss4_1","Betula","A","A_ss4_1",1408
"FLB08mA_ss4_2b","Betula","A","A_ss4_2",279
"FLB08mB_ss4_1","Betula","B","B_ss4_1",24
"FLB08mB_ss4_2a","Betula","B","B_ss4_2a",248
"FLB10mA_ss4_1","Betula","A","A_ss4_1",22
"FLB10mA_ss4_2a","Betula","A","A_ss4_2",10
"FLB10mA_ss4_2b","Betula","A","A_ss4_2",9
"FLB10mA_ss4_3a","Betula","A","A_ss4_3",2
"FLB10mA_ss4_3b","Betula","A","A_ss4_3",0
